Date,Close,MA50,MA200,RSI,MACD,MACD_Signal,BB_High,BB_Low,BB_Mid,VWAP,Return,Volatility,ATR,Stoch_K,Stoch_D,OBV,Hammer,Bullish_Engulfing,Bearish_Engulfing,Doji,Morning_Star,Evening_Star,Shooting_Star,Piercing_Line,Dark_Cloud_Cover
2020-11-14,2493.663818359375,2424.2342041015627,2030.3980029296874,55.12100797572248,15.523716052568943,22.94134573592781,2555.2541481396033,2427.418825493209,2491.3364868164062,2043.9593751914795,0.005081176610666205,0.21126307024312424,52.81841383937184,48.836514523851264,45.872701154783044,127261464.0,0,0,0,0,0,0,0,0,0
2020-11-17,2489.648681640625,2430.7501123046877,2032.9527624511718,55.63844006497489,13.974018824622362,21.147880353666725,2543.6800385715246,2432.180630373788,2487.9303344726563,2045.3465840560955,-0.0016101355319786403,0.20737442736593237,52.484901643292005,45.849635752621644,44.7148300741041,124434191.0,0,0,0,0,0,0,0,0,0
2020-11-18,2452.855712890625,2436.1368212890625,2035.4004699707032,49.28194904372508,9.665568858856204,18.85141805470462,2543.292796984557,2428.015406140443,2485.6541015625,2046.6406628326367,-0.01477837777728308,0.19744936767951865,52.76836997650886,18.479176167349333,37.721775481274086,121540429.0,0,0,0,0,0,0,0,0,0
2020-11-19,2462.4267578125,2442.097138671875,2038.1660290527343,46.46952179986329,6.943355872507254,16.46980561826515,2542.440560826447,2425.6692047985534,2484.0548828125,2048.533549342576,0.0039020007869097206,0.19813579895361288,52.551532593063975,25.59912074162361,29.97597755386487,125707930.0,0,0,0,1,0,0,1,0,0
2020-11-20,2484.232177734375,2448.4284814453126,2040.9329364013672,57.75186966667929,6.470905055061394,14.470025505624399,2540.0091962868128,2425.621223635062,2482.8152099609374,2049.8202738816644,0.008855256243741394,0.19970463124798718,51.46089450050743,41.41291385812007,28.49707025569768,128419401.0,0,0,0,0,0,0,0,0,0
2020-11-23,2543.997314453125,2455.1563671875,2043.9745635986328,61.50525403459686,10.794598026876884,13.734940009874897,2546.851154724638,2422.145720275362,2484.4984375,2051.8071999600347,0.024057790271944768,0.21783021029129138,51.84775365860988,85.57844580342321,50.8634934677223,132125819.0,0,0,0,0,0,0,0,0,0
2020-11-24,2541.943603515625,2459.661689453125,2046.8277612304687,59.147740052593726,13.895262610613827,13.767004530022685,2554.634406378384,2422.944451043491,2488.7894287109375,2053.4607619334656,-0.0008072771641040033,0.20142070748053117,46.92177137584554,83.97257978994037,70.32131315049456,129005303.0,0,0,0,0,0,0,0,0,0
2020-11-25,2522.566650390625,2463.77947265625,2049.6676458740235,52.138222843018305,14.620467803164502,13.93769718465105,2557.1354148268556,2427.8301125168946,2492.482763671875,2055.1295841310425,-0.007622888681794837,0.2035310952771721,46.11467334517484,68.82108504931914,79.45737021422758,125703054.0,0,0,0,0,0,0,0,0,0
2020-11-26,2540.58935546875,2468.041982421875,2052.5599908447266,51.81447452534911,16.45974215908018,14.442106179536875,2562.5624521123323,2430.6161367548552,2496.5892944335938,2056.350845080242,0.007144590243169269,0.20433662302364577,47.38201908933804,82.91364745793975,78.56910409906642,128044153.0,0,0,0,0,0,0,0,1,0
2020-11-27,2502.3486328125,2472.3217041015623,2055.144500732422,43.88905336014783,14.662651688610822,14.486215281351665,2563.1874493243636,2431.373195206886,2497.280322265625,2059.249032089094,-0.015051910130196688,0.20863348888083139,47.558792796811495,53.40167904458278,68.3788038506139,121957345.0,0,0,0,0,0,0,0,0,0
2020-12-01,2546.379150390625,2477.6875390625,2057.988422241211,60.894862675069,16.599985039192234,14.90896923291978,2564.82672322353,2441.14544474522,2502.986083984375,2061.1166504993826,0.01759567671777096,0.1984922122051757,49.106283476098234,88.08375208028029,74.79969286093429,125562362.0,0,1,0,0,0,0,0,1,0
2020-12-02,2567.624267578125,2483.191865234375,2060.858901977539,59.111958447265934,19.623432368261092,15.851861859988045,2573.049143202924,2443.7508567970763,2508.4,2062.464591005443,0.008343265449782367,0.1970998822569784,49.29637734643672,96.51208994924467,79.3325070247026,128071394.0,0,0,0,0,0,0,0,0,0
2020-12-03,2530.177001953125,2486.8751171875,2063.444800415039,55.300893310851386,18.78135501361976,16.43776049071439,2574.6728359838803,2447.3846347192443,2511.0287353515623,2063.875433008379,-0.014584402436857213,0.20474206274990547,50.7538155877451,61.372429630272805,81.98942388659927,125218846.0,0,0,1,0,0,0,0,0,1
2020-12-04,2547.07958984375,2491.928583984375,2066.1507977294923,59.65590820410134,19.25592985224239,17.00139436301999,2578.6042389991353,2447.3613371727397,2512.9827880859375,2065.2442845639107,0.006680397409974725,0.20164739038980195,51.07394896792347,72.22064333098726,76.70172097016827,127905373.0,0,0,0,0,0,0,0,0,0
2020-12-07,2556.5576171875,2499.685966796875,2068.8167120361327,59.28329113540885,20.16438890306108,17.63399327102821,2582.571832307134,2446.2184997241156,2514.395166015625,2066.2763976900374,0.0037211351312078644,0.20015352272083684,51.45417107070437,78.3037157428304,70.6322629013635,129901773.0,0,0,0,0,0,0,0,0,0
2020-12-08,2612.214111328125,2506.8817822265623,2071.703511352539,65.69787221268868,25.086185254343945,19.124431667691358,2597.7197194006008,2437.6728098962744,2517.6962646484376,2068.7228461046193,0.021770091847901796,0.2128249327491447,53.3318540093353,95.84381706029201,82.12272537803658,134179591.0,0,0,0,0,0,0,0,0,0
2020-12-09,2624.821533203125,2514.2553515625,2074.7424255371093,73.47956756410804,29.662131317264993,21.231971597606087,2615.691068735571,2434.754927358179,2525.222998046875,2070.846781219061,0.004826335567335915,0.18194045116778743,52.52144293641751,86.45330429082533,86.8669456979826,137839587.0,0,0,0,1,0,0,1,0,0
2020-12-10,2600.073974609375,2519.97908203125,2077.8392114257813,68.04595773337832,30.93508003922898,23.172593285930667,2625.7987720314736,2433.6587474997764,2529.728759765625,2072.0192969208906,-0.009428282372992425,0.1818171381308627,52.35807900442361,74.1587218398906,85.48528106366933,135711786.0,0,0,0,0,0,0,0,0,0
2020-12-11,2599.420166015625,2525.617216796875,2081.1230560302733,65.98820462841597,31.52771234053398,24.843617096851332,2634.34024453253,2435.627480076845,2534.9838623046876,2073.0033949908325,-0.00025145768933299006,0.1795263650393773,52.004552238653915,73.83390985358747,78.14864532810115,133916378.0,0,0,0,0,0,0,0,0,0
2020-12-14,2612.587646484375,2530.9393896484376,2084.2853955078126,60.93489954305909,32.68313253034012,26.411520183549094,2643.271818650212,2439.8489577169753,2541.5603881835937,2074.3925985061082,0.005065545247705305,0.17758969601685493,50.53711627384564,80.37551167183732,76.12271445510515,136400036.0,0,0,0,1,0,0,0,0,0
2020-12-15,2578.829833984375,2532.1951611328127,2087.4284051513673,55.34065281479544,30.522988006337528,27.233813748106783,2646.2095454833184,2445.427832446369,2545.8186889648437,2075.6265069133615,-0.012921217225162263,0.18562980577738053,50.85059984316097,63.60463677635315,72.60468610059266,134034527.0,0,0,0,0,0,0,0,0,0
2020-12-16,2627.99609375,2534.2761865234374,2090.900360107422,64.0526206519072,32.40482155993186,28.2680153104718,2655.8589756584647,2449.6131434821605,2552.7360595703126,2077.0878193275807,0.01906533696706214,0.1949470165400156,51.82446159120663,88.0304253729387,77.33685794037639,136599676.0,0,0,0,0,0,0,0,0,0
2020-12-17,2650.40771484375,2536.402802734375,2094.9681176757813,64.46833804658009,35.297728487634686,29.673957945904377,2663.269847883836,2461.957471452102,2562.613659667969,2078.7759582643057,0.008528026790850296,0.1843743837771127,51.67438060422796,93.23880838724804,81.62462351217998,139463136.0,0,0,0,0,0,0,0,0,0
2020-12-18,2671.699462890625,2537.2861376953124,2099.137053222656,73.35462987715655,38.86048471692311,31.511263300108123,2673.3904550817647,2472.764134761985,2573.077294921875,2082.4579314986645,0.008033385930636072,0.1849441210166494,52.224693679098664,86.47412944652454,89.24778773557044,145539828.0,0,0,0,0,0,0,1,0,0
2020-12-21,2633.552490234375,2537.64365234375,2102.9550012207033,62.220098811604956,38.16590007251125,32.84219065458875,2675.074769632167,2486.0118514615833,2580.543310546875,2083.9772208475792,-0.014278167580636936,0.195091068957933,51.56100776574658,60.879427259013966,80.19745503092885,142834633.0,0,0,0,0,0,0,0,0,0
